Location,Crossnumber,Repeat_Pollination_Date
Arusha,NM201903_(152700C1/161582),2019-03-20
Arusha,NM201903_(152591C1/161582),2019-03-21
Arusha,NM201904_(136507C3/161503),2019-04-11
Arusha,NM201904_(152672C1/161554),2019-04-15
Arusha,NM201904_(153014C1/161503),2019-04-16
Arusha,NM201904_(152747C1/161582),2019-04-17
Arusha,NM201904_(152662C1/136604),2019-04-19
Arusha,NM201904_(153154C1/161503),2019-04-24
Arusha,NM201904_(153038C1/136604),2019-04-25
Arusha,NM201903_(153118C1/161582),2019-03-20
Arusha,NM201903_(153083C1/161582),2019-03-21
Arusha,NM201903_(152431C1/161582),2019-03-22
Arusha,NM201904_(136610C2/161503),2019-04-11
Arusha,NM201904_(153160C1/161503),2019-04-16
Arusha,NM201904_(152672C1/161554),2019-04-17
Arusha,NM201904_(152952C1/136604),2019-04-18
Arusha,NM201904_(152952C1/136604),2019-04-19
Arusha,NM201904_(152573C1/136604),2019-04-23
Arusha,NM201904_(152639C1/161503),2019-04-24
Arusha,NM201903_(152695C1/161582),2019-03-20
Arusha,NM201903_(152431C1/161582),2019-03-21
Arusha,NM201903_(153083C1/161582),2019-03-22
Arusha,NM201904_(152680C1/161554),2019-04-16
Arusha,NM201904_(152771C1/136604),2019-04-17
Arusha,NM201904_(152921C1/161554),2019-04-18
Arusha,NM201904_(152400C1/136604),2019-04-19
Arusha,NM201904_(152662C1/136604),2019-04-23
Arusha,NM201903_(153083C1/161582),2019-03-20
Arusha,NM201903_(152378C1/161424),2019-03-21
Arusha,NM201903_(152378C1/161424),2019-03-22
Arusha,NM201904_(152743C1/136604),2019-04-17
Arusha,NM201904_(152400C1/136604),2019-04-18
Arusha,NM201904_(152747C1/161582),2019-04-19
Arusha,NM201903_(152431C1/161582),2019-03-20
Arusha,NM201904_(152921C1/161554),2019-04-16
Arusha,NM201904_(152747C1/161582),2019-04-18
Arusha,NM201904_(152743C1/136604),2019-04-19
Arusha,NM201903_(152378C1/161424),2019-03-20
Arusha,NM201904_(153101C1/161503),2019-04-16
Arusha,NM201904_(152743C1/136604),2019-04-18
Arusha,NM201904_(152771C1/136604),2019-04-19
Arusha,NM201904_(152771C1/136604),2019-04-18
Arusha,NM201904_(152672C1/161554),2019-04-16
Arusha,NM201904_(153038C1/136604),2019-04-23
Arusha,BT201804_(136492C2/136283),2018-09-24
Arusha,BT201804_(136513C2/136328),2018-09-25
Arusha,NM201805_(136440C2/136460),2018-11-07
Arusha,NM201807_(136360C2/136357),2018-08-03
Arusha,NM201807_(136478C2/136357),2018-07-25
