.id,Crossnumber,Location,FemalePlotName,Mother,Cycle,MalePlotName,Father,First_Pollination_Date,Bunch_Harvest_Date,Seed_Extraction_Date,Total_Seeds,Embryo_Rescue_Date,Good_Seeds,Number_of_Embryo_Rescued,Germination_Date,Number_of_Embryo_Germinating
1,NM201810_(136679C2/136653),Arusha,16NM_ITC1460-IjihuInkundu_plot310_r15c16,ITC1460,2,16NM_ITC0609-Pahang_plot210_r10c1,ITC0609 Pahang,2018-10-24,2019-01-24,2019-01-31,32,2019-02-07,21,21,,
1,NM201810_(136680C2/136295),Arusha,16NM_ITC1460-IjihuInkundu_plot283_r14c12,ITC1460,2,16NM_ITC0712-AAcvRose_plot84_r4c1,ITC0712,2018-10-19,2019-02-28,,,,,,,
1,NM201810_(136694C2/136510),Arusha,16NM_Huti-white_plot130_r7c4,Huti-white,2,16NM_ITC0609-Pahang_plot169_r9c1,ITC0609 Pahang,2018-10-26,,,,,,,,
1,NM201810_(136700C2/136357),Arusha,16NM_ITC1460-IjihuInkundu_plot354_r17c18,ITC1460,2,16NM_ITC0609-Pahang_plot168_r8c1,ITC0609 Pahang,2018-10-18,,,,,,,,
1,NM201810_(136703C2/136510),Arusha,16NM_ITC1468-Kahuti_plot13_r1c13,ITC1468,2,16NM_ITC0609-Pahang_plot169_r9c1,ITC0609 Pahang,2018-10-01,,,,,,,,
1,NM201810_(136716C2/161548),Arusha,16NM_ITC1455-MchareMlelembo_plot408_r20c13,ITC1455-Mchare Mlelembo,2,Males_ITC0609_Pahang_r1c11_plot19,ITC0609 Pahang,2018-10-08,2019-02-01,2019-02-22,6,2019-02-26,6,6,,
1,NM201811_(136284C2/136357),Arusha,16NM_ITC1468-Kahuti_plot32_r2c11,ITC1468,2,16NM_ITC0609-Pahang_plot168_r8c1,ITC0609 Pahang,2018-11-06,,,,,,,,
1,NM201811_(136289C2/136295),Arusha,16NM_ITC1468-Kahuti_plot71_r4c14,ITC1468,2,16NM_ITC0712-AAcvRose_plot84_r4c1,ITC0712,2018-11-07,2019-03-19,,,,,,,
1,NM201811_(136298C2/136295),Arusha,16NM_MchareLaini_plot259_r13c7,Mchare Laini,2,16NM_ITC0712-AAcvRose_plot84_r4c1,ITC0712,2018-11-06,2018-12-05,,,,,,,
1,NM201811_(136340C2/136357),Arusha,16NM_ITC1468-Kahuti_plot62_r3c20,ITC1468,2,16NM_ITC0609-Pahang_plot168_r8c1,ITC0609 Pahang,2018-11-21,2019-03-19,,,,,,,
