PlotName,PlotID,TrialName
16NM_ITC1460-IjihuInkundu_plot333_r16c4,136576,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot339_r17c3,136577,2016 NM_Pollination block
16NM_MchareLaini_plot228_r11c18,136578,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot323_r16c14,136579,2016 NM_Pollination block
16NM_MchareLaini_plot268_r13c16,136580,2016 NM_Pollination block
16NM_Huti-white_plot112_r6c15,136583,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot69_r4c16,136582,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot345_r17c9,136581,2016 NM_Pollination block
16NM_MchareLaini_plot191_r10c20,136586,2016 NM_Pollination block
16NM_Huti-white_plot172_r9c4,136585,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot319_r16c18,136584,2016 NM_Pollination block
16NM_MchareLaini_plot224_r11c14,136587,2016 NM_Pollination block
16NM_Huti-white_plot187_r9c19,136588,2016 NM_Pollination block
16NM_MchareLaini_plot223_r11c13,136590,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot404_r20c17,136589,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot282_r14c13,136591,2016 NM_Pollination block
16NM_MchareLaini_plot262_r13c10,136593,2016 NM_Pollination block
16NM_ITC0766-Paliama_plot420_r20c1,136592,2016 NM_Pollination block
16NM_Huti-white_plot121_r6c6,136595,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot79_r4c6,136594,2016 NM_Pollination block
16NM_MchareLaini_plot212_r11c2,136596,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot344_r17c8,136598,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot352_r17c16,136597,2016 NM_Pollination block
16NM_ITC0712-AAcvRose_plot126_r6c1,136599,2016 NM_Pollination block
16NM_MchareLaini_plot238_r12c15,136600,2016 NM_Pollination block
16NM_MchareLaini_plot251_r12c2,136602,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot426_r21c6,136601,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot369_r18c10,136603,2016 NM_Pollination block
16NM_ITC0249-Calcutta4_plot253_r13c1,136604,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot279_r14c16,136605,2016 NM_Pollination block
16NM_Huti-white_plot176_r9c8,136606,2016 NM_Pollination block
16NM_MchareLaini_plot209_r10c2,136607,2016 NM_Pollination block
16NM_MchareLaini_plot256_r13c4,136610,2016 NM_Pollination block
16NM_MchareLaini_plot216_r11c6,136609,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot357_r17c21,136608,2016 NM_Pollination block
16NM_Huti-white_plot117_r6c10,136612,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot372_r18c7,136611,2016 NM_Pollination block
16NM_Huti-white_plot170_r9c2,136613,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot33_r2c10,136614,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot63_r3c21,136615,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot428_r21c8,136616,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot7_r1c7,136617,2016 NM_Pollination block
16NM_MchareLaini_plot227_r11c17,136620,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot26_r2c17,136619,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot80_r4c5,136618,2016 NM_Pollination block
16NM_ITC0299-Guyod_plot336_r16c1,136621,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot99_r5c15,136622,2016 NM_Pollination block
16NM_Huti-white_plot179_r9c11,136624,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot72_r4c13,136623,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot383_r19c5,136625,2016 NM_Pollination block
16NM_MchareLaini_plot255_r13c3,136627,2016 NM_Pollination block
16NM_MchareLaini_plot264_r13c12,136626,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot297_r15c3,136628,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot359_r18c20,136629,2016 NM_Pollination block
16NM_Huti-white_plot182_r9c14,136630,2016 NM_Pollination block
16NM_Huti-white_plot108_r6c19,136631,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot277_r14c18,136632,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot92_r5c8,136633,2016 NM_Pollination block
16NM_MchareLaini_plot232_r12c21,136635,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot414_r20c7,136634,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot10_r1c10,136636,2016 NM_Pollination block
16NM_MchareLaini_plot225_r11c15,136637,2016 NM_Pollination block
16NM_MchareLaini_plot207_r10c4,136640,2016 NM_Pollination block
