location,crossnumber,motherAccessionName,fatherAccessionName,firstpollination_date,harvesting_date,days_to_maturity,seed_extraction_date,days_harvest_extraction,total_seeds,good_seeds,badseeds,number_rescued,rescue_date,days_extraction_rescue,germination_after_8weeks_date,actively_germination_after_8weeks,contamination
Arusha,T1853,Huti-white,cv-Rose,2015-10-16,2016-03-14,150,2016-03-21,7,0,,,,,,,,
Arusha,T1854,Akondro mainty,Calcutta 4,2015-10-19,2016-02-24,128,2016-03-03,8,0,,,,,,,,
Arusha,T1855,Akondro mainty,cv-Rose,2015-10-19,2016-03-17,150,2016-03-21,4,0,,,,,,,,
Arusha,T1856,Huti-white,Borneo,2015-10-19,2016-02-24,128,2016-03-03,8,0,,,,,,,,
Arusha,T1857,Kisukari Mchare,Borneo,2015-10-19,2016-03-14,147,2016-03-21,7,0,,,,,,,,
Arusha,T1859,Guyod,cv-Rose,2015-10-20,2016-02-24,127,2016-03-03,8,0,,,,,,,,
Arusha,T1860,TMB2x 9128-3,Guyod,2015-10-20,2016-03-29,161,2016-04-06,8,,,,,,,,,
Arusha,T1861,TMB2x 9128-3,Paliama,2015-10-20,2016-03-29,161,2016-04-06,8,0,,,,,,,,
Arusha,T1862,Huti-Green,Calcutta 4,2015-10-21,2016-02-10,112,2016-02-19,9,0,,,,,,,,
Arusha,T1864,Kisukari Mchare,Borneo,2015-10-22,2016-03-10,140,2016-03-17,7,0,,,,,,,,
Arusha,T1865,Akondro mainty,cv-Rose,2015-10-23,2016-03-14,143,2016-03-21,7,0,,,,,,,,
Arusha,T1866,Kisukari Mchare,Borneo,2015-10-26,2016-03-14,140,2016-03-21,7,0,,,,,,,,
Arusha,T1869,Kisukari Mchare,Borneo,2015-10-27,2016-03-10,135,2016-03-17,7,0,,,,,,,,
Arusha,T1872,Huti-white,Calcutta 4,2015-10-28,2016-03-29,153,2016-04-06,8,0,,,,,,,,
Arusha,T1873,Nshonowa,Borneo,2015-10-28,2016-02-18,113,2016-02-24,6,2,1,0,1,2016-02-25,,2016-04-25,0,
Arusha,T1874,Akondro mainty,Calcutta 4,2015-10-30,2016-03-29,151,2016-04-06,8,0,,,,,,,,
Arusha,T1875,Akondro mainty,Borneo,2015-10-30,2016-03-14,136,2016-03-21,7,0,,,,,,,,
Arusha,T1876,Akondro mainty,cv-Rose,2015-10-30,2016-03-29,151,2016-04-06,8,0,,,,,,,,
Arusha,T1877,Akondro mainty,Calcutta 4,2015-11-02,2016-03-14,133,2016-03-21,7,34,30,4,13,2016-03-23,,2016-05-22,,
Arusha,T1878,Kisukari Mchare,Borneo,2015-11-02,2016-02-24,114,2016-02-24,0,,,,,,,,,
Arusha,T1880,Akondro mainty,cv-Rose,2015-11-04,2016-03-14,131,2016-03-21,7,0,,,,,,,,
Arusha,T1882,Akondro mainty,Calcutta 4,2015-11-04,2016-03-29,146,2016-04-06,8,0,,,,,,,,
Arusha,T1888,Nshonowa,Borneo,2015-11-12,2016-03-10,119,2016-03-17,7,0,,,,,,,,
Arusha,T1896,Akondro mainty,Borneo,2015-11-17,2016-03-10,114,2016-03-17,7,0,,,,,,,,
Arusha,T1897,Guyod,cv-Rose,2015-11-19,2016-02-24,97,2016-03-03,8,0,,,,,,,,
Arusha,T1900,Kisukari Mchare,Calcutta 4,2015-11-24,2016-03-29,126,2016-04-06,8,,,,,,,,136,
