.id,Crossnumber,Location,FemalePlotName,Mother,Cycle,MalePlotName,Father,First_Pollination_Date,Bunch_Harvest_Date,Seed_Extraction_Date,Total_Seeds,Embryo_Rescue_Date,Good_Seeds,Number_of_Embryo_Rescued,Germination_Date,Number_of_Embryo_Germinating
1,SE201902_(162450C1/132447),Sendusu,25974S-17_14_R5P1,25974S-17,1,17-8075-7_R3C9_plot39,8075-7,2019-02-08,,,,,,,,
1,SE201902_(162514C1/132522),Sendusu,Nakyetengu_14_Phase1_R7C3,IITA-Nakyetengu,1,17-5265-1_R9C5_plot125,TMB2X5265-1,2019-02-19,,,,,,,,
1,SE201902_(162565C1/132361),Sendusu,Enzirabahima_14_Phase1_R25C3,ITC1354,1,17-7197-2_R10C4_plot139,7197-2,2019-02-12,,,,,,,,
1,SE201902_(162579C1/132594),Sendusu,Entukura_14_Phase1_R5C6,Entukura,1,17-5265-1_R9C6_plot126,TMB2X5265-1,2019-02-12,,,,,,,,
1,SE201902_(162592C1/132708),Sendusu,Entukura_14_Phase1_R5C5,Entukura,1,17-7197-2_R11C14_plot164,7197-2,2019-02-09,,,,,,,,
1,SE201902_(162601C1/132441),Sendusu,Kazirakwe_14_Phase1_R30C7,ITC1355,1,17-5265-1_R8C2_plot107,TMB2X5265-1,2019-02-14,,,,,,,,
1,SE201902_(162609C1/132640),Sendusu,Entukura_14_Phase1_R4C5,Entukura,1,17-5265-1_R9C3_plot123,TMB2X5265-1,2019-02-26,,,,,,,,
1,SE201902_(162633C1/132308),Sendusu,Nakasabira_14_Phase1_R31C1,Nakasabira,1,17-SH3362_R19C6_plot276,SH3362,2019-02-26,,,,,,,,
1,SE201902_(162657C1/132386),Sendusu,Entukura_14_Phase1_R6C16,Entukura,1,17-5265-1_R9C11_plot131,TMB2X5265-1,2019-02-13,,,,,,,,
1,SE201902_(162667C1/132466),Sendusu,Tereza_14_Phase1_R17C8,Tereza,1,17-8075-7_R1C1_plot1,8075-7,2019-02-23,,,,,,,,
1,SE201902_(162707C1/132507),Sendusu,Enzirabahima_14_Phase1_R26C13,ITC1354,1,17-9128-3_R4C6_plot51,9128-3,2019-02-07,,,,,,,,
1,SE201902_(162710C1/132383),Sendusu,Tereza_14_Phase1_R18C15,Tereza,1,17-7197-2_R10C5_plot140,7197-2,2019-02-16,,,,,,,,
1,SE201902_(162713C1/132452),Sendusu,Entukura_14_Phase1_R6C15,Entukura,1,17-9128-3_R4C7_plot52,9128-3,2019-02-09,,,,,,,,
1,SE201902_(162720C1/132374),Sendusu,Nfuuka_14_Phase1_R14C6,Nfuuka,1,17-SH3217_R13C4_plot184,SH3217,2019-02-09,,,,,,,,
