Location,Crossnumber,FemalePlotName,Mother,Cycle,MalePlotName,Father,First_Pollination_Date,Bunch_Harvest_Date,Seed_Extraction_Date,Total_Seeds,Good_Seeds,Number_of_Embryo_Rescued,Embryo_Rescue_Date,Germination_after_2_Weeks_Date,Active_after_2_Weeks,Germination_after_8_Weeks_Date,Active_after_8_Weeks,Days_to_Maturity,Days_in_ripening_shed
Sendusu,SE201812_(163330C1/132401),Kabucuragye_16_Phase3_R19C3,Kabucuragye,1,17-9128-3_R4C2_plot47,9128-3,2018-12-27,,,,,,,,,,,,
Sendusu,SE201812_(163345C1/132332),Entukura_16_Phase3_R5C9,Entukura,1,17-8075-7_R1C11_plot11,8075-7,2018-12-17,,,,,,,,,,,,
Sendusu,SE201812_(163357C1/132381),Kabucuragye_16_Phase3_R21C1,Kabucuragye,1,17-8075-7_R2C9_plot24,8075-7,2018-12-17,,,,,,,,,,,,
Sendusu,SE201812_(163387C1/132332),Nakyetengu_16_Phase3_R8C6,IITA-Nakyetengu,1,17-8075-7_R1C11_plot11,8075-7,2018-12-27,,,,,,,,,,,,
Sendusu,SE201812_(163391C1/132709),Entukura_16_Phase3_R4C6,Entukura,1,17-SH3217_R14C1_plot196,SH3217,2018-12-20,,,,,,,,,,,,
Sendusu,SE201812_(163403C1/132401),Nakyetengu_16_Phase3_R7C8,IITA-Nakyetengu,1,17-9128-3_R4C2_plot47,9128-3,2018-12-27,,,,,,,,,,,,
Sendusu,SE201812_(163407C1/132316),Enzirabahima_16_Phase3_R26C4,ITC1354,1,17-8075-7_R2C1_plot16,8075-7,2018-12-24,,,,,,,,,,,,
Sendusu,SE201901_(162354C1/132316),29364S-2_14_R11P2,29364S-2,1,17-8075-7_R2C1_plot16,8075-7,2019-01-14,,,,,,,,,,,,
Sendusu,SE201901_(162517C1/132348),Kazirakwe_14_Phase1_R30C8,ITC1355,1,17-7197-2_R11C3_plot153,7197-2,2018-10-31,,,,,,,,,,,,
Sendusu,SE201901_(162520C1/132348),Tereza_14_Phase1_R16C1,Tereza,1,17-7197-2_R11C3_plot153,7197-2,2019-01-17,,,,,,,,,,,,
Sendusu,SE201901_(162528C1/132316),Tereza_14_Phase1_R18C10,Tereza,1,17-8075-7_R2C1_plot16,8075-7,2019-01-14,,,,,,,,,,,,
Sendusu,SE201901_(162535C1/132576),Enzirabahima_14_Phase1_R26C3,ITC1354,1,17-SH3362_R18C13_plot268,SH3362,2019-01-18,,,,,,,,,,,,
Sendusu,SE201901_(162589C1/132635),Enzirabahima_14_Phase1_R27C8,ITC1354,1,17-7197-2_R12C2_plot167,7197-2,2019-01-15,,,,,,,,,,,,
Sendusu,SE201901_(162595C1/132709),Nakyetengu_14_Phase1_R9C6,IITA-Nakyetengu,1,17-SH3217_R14C1_plot196,SH3217,2018-10-31,,,,,,,,,,,,
Sendusu,SE201901_(162605C1/132374),Entukura_14_Phase1_R6C1,Entukura,1,17-SH3217_R13C4_plot184,SH3217,2019-01-18,,,,,,,,,,,,
Sendusu,SE201901_(162612C1/132330),Enzirabahima_14_Phase1_R25C18,ITC1354,1,17-8075-7_R3C1_plot31,8075-7,2018-10-31,,,,,,,,,,,,
Sendusu,SE201901_(162614C1/132709),Nfuuka_14_Phase1_R13C11,Nfuuka,1,17-SH3217_R14C1_plot196,SH3217,2019-01-14,,,,,,,,,,,,
